edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
546,2252,4523,obsoletes,54,48,7,1,0.129600
547,1274,4524,obsoletes,33,32,2,1,0.060600
548,4120,4537,updates,60,60,1,1,0.016700
549,3501,4551,updates,129,129,13,13,0.100800
550,2327,4566,obsoletes,342,109,240,7,0.701800
551,3266,4566,obsoletes,242,2,240,0,0.991700
552,4145,4572,updates,40,32,21,13,0.525000
553,4364,4577,updates,136,134,12,10,0.088200
554,3972,4581,updates,61,61,4,4,0.065600
555,1034,4592,updates,385,378,15,8,0.039000
556,2362,4601,obsoletes,89,26,70,7,0.786500
557,3376,4604,updates,91,86,18,13,0.197800
558,3810,4604,updates,89,85,18,14,0.202200
559,2595,4616,updates,38,27,15,4,0.394700
560,3280,4630,updates,106,106,3,3,0.028300
561,1519,4632,obsoletes,101,56,45,0,0.445500
562,3174,4634,updates,55,42,15,2,0.272700
563,2845,4635,updates,46,46,5,5,0.108700
564,3344,4636,updates,50,50,1,1,0.020000
565,3066,4646,obsoletes,69,50,25,6,0.362300
566,3066,4647,obsoletes,67,50,19,2,0.283600
567,3548,4648,obsoletes,199,15,184,0,0.924600
568,4346,4680,updates,106,105,5,4,0.047200
569,4346,4681,updates,105,105,1,1,0.009500
570,4364,4684,updates,139,134,20,15,0.143900
571,3344,4721,updates,51,50,7,6,0.137300
572,4271,4724,updates,219,219,16,16,0.073100
573,2833,4733,obsoletes,40,19,24,3,0.600000
574,3830,4738,updates,38,37,8,7,0.210500
575,2222,4752,obsoletes,49,43,7,1,0.142900
576,2858,4760,obsoletes,94,18,76,0,0.808500
577,3473,4783,updates,138,138,7,7,0.050700
578,3417,4789,updates,34,34,2,2,0.058800
579,3095,4815,updates,56,56,3,3,0.053600
580,2453,4822,updates,35,29,9,3,0.257100
581,2132,4833,updates,95,93,2,0,0.021100
582,3720,4850,updates,31,31,1,1,0.032300
583,3852,4853,updates,70,69,2,1,0.028600
584,3555,4855,obsoletes,61,19,44,2,0.721300
585,2461,4861,obsoletes,291,101,197,7,0.677000
586,2462,4862,obsoletes,208,63,146,1,0.701900
587,3464,4865,updates,46,45,2,1,0.043500
588,3471,4872,updates,120,104,30,14,0.250000
589,3473,4873,updates,144,138,30,24,0.208300
590,4872,4873,updates,38,29,29,20,0.763200
591,3209,4874,updates,240,238,15,13,0.062500
592,3473,4874,updates,141,138,15,12,0.106400
593,3979,4879,updates,32,32,14,14,0.437500
594,1991,4880,obsoletes,42,11,34,3,0.809500
595,2440,4880,obsoletes,65,33,34,2,0.523100
596,792,4884,updates,181,172,21,12,0.116000
597,4443,4884,updates,123,118,21,16,0.170700
598,3261,4916,updates,546,546,15,15,0.027500
599,2518,4918,obsoletes,49,18,32,1,0.653100
600,3041,4941,obsoletes,104,36,71,3,0.682700
601,2828,4949,obsoletes,95,18,77,0,0.810500
602,3463,4954,updates,37,25,19,7,0.513500
603,2554,4954,obsoletes,36,17,19,0,0.527800
604,2960,4960,obsoletes,204,74,135,5,0.661800
605,3309,4960,obsoletes,146,12,135,1,0.924700
606,3473,4974,updates,140,138,8,6,0.057100
607,3972,4982,updates,61,61,6,6,0.098400
608,4120,5021,updates,60,60,2,2,0.033300
609,3501,5032,updates,129,129,0,0,0.000000
610,2634,5035,updates,51,49,13,11,0.254900
611,3036,5036,obsoletes,138,51,90,3,0.652200
612,3720,5048,updates,31,31,3,3,0.096800
613,3452,5052,obsoletes,30,11,20,1,0.666700
614,4601,5059,updates,75,69,13,7,0.173300
615,2362,5059,obsoletes,38,26,13,1,0.342100
616,2961,5063,updates,35,29,8,2,0.228600
617,3473,5063,updates,139,138,8,7,0.057600
618,2472,5072,obsoletes,33,17,17,1,0.515200
619,4507,5077,obsoletes,38,3,36,1,0.947400
620,2865,5080,updates,152,151,16,15,0.105300
621,2866,5080,updates,56,48,16,8,0.285700
622,2869,5080,updates,41,30,16,5,0.390200
623,3579,5080,updates,56,48,16,8,0.285700
624,3682,5082,obsoletes,48,6,42,0,0.875000
625,3852,5083,updates,90,69,28,7,0.311100
626,2460,5095,updates,353,338,25,10,0.070800
627,4294,5095,updates,34,12,25,3,0.735300
628,2733,5109,obsoletes,46,21,30,5,0.652200
629,3009,5109,obsoletes,31,3,30,2,0.967700
630,3032,5129,updates,122,113,15,6,0.123000
631,4119,5139,updates,40,35,16,11,0.400000
632,2046,5147,updates,196,196,3,3,0.015300
633,3209,5151,updates,240,238,11,9,0.045800
634,3473,5151,updates,143,138,11,6,0.076900
635,3576,5176,obsoletes,37,14,23,0,0.621600
636,3501,5182,updates,129,129,7,7,0.054300
637,854,5198,updates,133,92,43,2,0.323300
638,698,5198,obsoletes,54,11,43,0,0.796300
639,4214,5214,obsoletes,36,5,31,0,0.861100
640,2716,5216,obsoletes,38,14,25,1,0.657900
641,2434,5226,obsoletes,899,350,553,4,0.615100
642,826,5227,updates,130,128,8,6,0.061500
643,3028,5228,obsoletes,55,11,46,2,0.836400
644,5228,5229,updates,45,45,22,22,0.488900
645,4234,5234,obsoletes,595,104,492,1,0.826900
646,2780,5237,updates,35,34,2,1,0.057100
647,4091,5245,obsoletes,81,9,74,2,0.913600
648,4092,5245,obsoletes,75,3,74,2,0.986700
649,4492,5246,updates,399,26,395,22,0.990000
650,3268,5246,obsoletes,414,19,395,0,0.954100
651,4346,5246,obsoletes,470,105,395,30,0.840400
652,4366,5246,obsoletes,410,29,395,14,0.963400
653,3748,5247,updates,119,118,23,22,0.193300
654,2797,5272,obsoletes,31,9,25,3,0.806500
655,3280,5280,obsoletes,443,106,345,8,0.778800
656,4325,5280,obsoletes,345,0,345,0,1.000000
657,4630,5280,obsoletes,347,2,345,0,0.994200
658,4306,5282,updates,132,123,12,3,0.090900
659,1195,5302,updates,101,97,6,2,0.059400
660,1195,5304,updates,133,97,61,25,0.458600
661,3567,5304,obsoletes,70,9,61,0,0.871400
662,3784,5305,obsoletes,102,29,73,0,0.715700
663,5305,5307,updates,84,72,39,27,0.464300
664,4205,5307,obsoletes,52,14,39,1,0.750000
665,1123,5321,updates,290,199,98,7,0.337900
666,2821,5321,obsoletes,180,87,98,5,0.544400
667,4021,5322,updates,141,6,140,5,0.992900
668,2822,5322,obsoletes,247,114,140,7,0.566800
669,3032,5332,updates,125,113,20,8,0.160000
670,4023,5332,updates,46,30,20,4,0.434800
671,2045,5335,updates,297,293,12,8,0.040400
672,2822,5335,updates,123,114,12,3,0.097600
673,2821,5336,updates,91,87,8,4,0.087900
674,2822,5336,updates,119,114,8,3,0.067200
675,3461,5337,updates,43,42,5,4,0.116300
676,3464,5337,updates,47,45,5,3,0.106400
677,2740,5340,obsoletes,111,18,94,1,0.846800
678,3966,5341,updates,58,57,1,0,0.017200
679,3411,5343,updates,144,144,2,2,0.013900
680,4342,5348,updates,44,18,36,10,0.818200
681,3448,5348,obsoletes,54,21,36,3,0.666700
682,2113,5350,updates,31,31,4,4,0.129000
683,3265,5367,updates,85,81,7,3,0.082400
684,2026,5378,updates,324,316,29,21,0.089500
685,3978,5378,obsoletes,47,20,29,2,0.617000
686,4748,5378,obsoletes,34,5,29,0,0.852900
687,3489,5389,obsoletes,105,31,85,11,0.809500
688,3261,5393,updates,546,546,6,6,0.011000
689,3209,5420,updates,243,238,21,16,0.086400
690,3473,5420,updates,145,138,21,14,0.144800
691,3164,5424,obsoletes,45,9,40,4,0.888900
692,5228,5429,updates,46,45,7,6,0.152200
693,2181,5452,updates,83,73,11,1,0.132500
694,3032,5462,updates,130,113,38,21,0.292300
695,3270,5462,updates,72,48,38,14,0.527800
696,3272,5462,updates,53,16,38,1,0.717000
697,3443,5462,updates,50,22,38,10,0.760000
698,3469,5462,updates,46,8,38,0,0.826100
699,3564,5462,updates,51,13,38,0,0.745100
700,3985,5462,updates,112,83,38,9,0.339300
701,4182,5462,updates,40,3,38,1,0.950000
702,4364,5462,updates,163,134,38,9,0.233100
703,4379,5462,updates,82,56,38,12,0.463400
704,4448,5462,updates,63,31,38,6,0.603200
705,4761,5462,updates,76,40,38,2,0.500000
706,5129,5462,updates,45,14,38,7,0.844400
707,3279,5480,updates,79,55,41,17,0.519000
708,4119,5491,updates,39,35,21,17,0.538500
709,826,5494,updates,129,128,3,2,0.023300
710,951,5494,updates,47,44,3,0,0.063800
711,2131,5494,updates,194,191,3,0,0.015500
712,2132,5494,updates,96,93,3,0,0.031200
713,3315,5494,updates,217,214,3,0,0.013800
